ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504
ASV_600_16S_022_3	0	0	0	0	0	0	0	10	0	20	0	48	0	0	0	0	0	11	38	0	0	0	0
ASV_601_16S_022_3	0	0	0	0	0	0	0	177	0	0	3	45	0	0	0	0	0	0	0	0	16	0	0
ASV_605_16S_022_3	0	0	0	0	0	89	12	11	26	40	27	74	11	22	59	34	13	0	16	12	11	13	5
ASV_606_16S_022_3	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	10	200	559	107	0	0	0
ASV_610_16S_022_3	0	0	0	0	0	0	39	10	0	0	0	287	0	0	39	151	79	12	0	0	0	0	9
ASV_612_16S_022_3	0	0	0	0	0	0	0	52	73	39	0	71	46	195	0	0	39	153	102	0	0	0	0
ASV_613_16S_022_3	0	0	0	0	0	0	0	0	77	0	0	0	42	220	0	0	0	0	51	0	0	0	0
ASV_615_16S_022_3	0	0	0	0	0	0	0	14	60	13	0	13	38	139	2	7	0	52	96	45	72	31	37
ASV_616_16S_022_3	0	0	0	0	0	0	0	420	76	128	0	0	0	28	13	0	0	22	31	0	0	79	0
ASV_622_16S_022_3	0	0	0	0	0	0	0	0	0	0	8	24	0	0	32	21	6	11	4	0	0	0	10
ASV_621_16S_022_3	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	35	60	205	55
ASV_624_16S_022_3	28	0	49	7	0	0	11	37	4	7	0	38	20	11	22	50	28	29	15	9	9	5	8
ASV_631_16S_022_3	0	0	0	0	0	0	0	28	57	0	0	28	0	88	0	0	0	45	60	0	0	0	41
ASV_632_16S_022_3	0	0	0	0	0	115	66	0	0	0	33	73	0	0	335	201	11	0	0	0	0	0	0
ASV_633_16S_022_3	0	6	0	0	0	12	24	14	9	21	87	91	0	12	100	117	45	24	6	0	0	20	48
ASV_634_16S_022_3	2	0	0	0	12	0	0	0	39	44	14	28	0	20	60	54	23	67	81	34	22	0	40
